Date,Open,High,Low,Close,Adj Close,Volume
2019-04-17,16.58,17.07,16.35,16.59,15.544322,2051800
2019-04-18,16.58,16.58,15.94,16.049999,15.038357,1182700
2019-04-22,15.95,15.95,15.19,15.26,14.298152,2324200
2019-04-23,15.28,15.32,14.87,15.25,14.28878,1834500
2019-04-24,15.27,15.56,15.08,15.44,14.466805,1278100
2019-04-25,15.44,15.54,15.06,15.3,14.33563,1278800
2019-04-26,15.39,15.65,15.32,15.4,14.429327,1182000
2019-04-29,15.86,15.96,15.28,15.5,14.523025,2582900
2019-04-30,15.41,15.43,14.88,15.16,14.204454,1663700
2019-05-01,15.15,15.3,14.7,14.71,13.782819,1882800
2019-05-02,14.69,14.8,14.33,14.7,13.773447,1042900
2019-05-03,14.87,14.96,14.48,14.59,13.670382,1773300
2019-05-06,14.39,15,14.3,14.87,13.932733,1551900
2019-05-07,14.88,15.22,14.82,14.97,14.02643,1546100
2019-05-08,14.91,14.97,14.57,14.65,13.7266,1749300
2019-05-09,13.79,13.9,13.02,13.63,12.770891,5898100
2019-05-10,13.58,13.93,13.29,13.82,12.948915,2255200
2019-05-13,13.53,13.75,13.06,13.29,12.452321,2335600
2019-05-14,13.39,13.65,13.36,13.5,12.649085,1569400
2019-05-15,13.35,13.72,13.31,13.58,12.724042,1630400
2019-05-16,13.57,13.67,13.33,13.4,12.555388,1793200
2019-05-17,13.32,13.55,13.11,13.13,12.302406,1992400
2019-05-20,13.19,13.22,12.9,13,12.180601,2032000
2019-05-21,13.09,13.33,13.03,13.21,12.377365,1752500
2019-05-22,13.2,13.33,13.03,13.04,12.21808,983200
2019-05-23,12.98,13,12.68,12.95,12.133752,2114700
2019-05-24,13,13.06,12.65,12.69,11.890139,1118000
2019-05-28,12.69,12.81,12.45,12.5,11.712117,1395500
2019-05-29,12.46,12.52,12.01,12.06,11.29985,1886600
2019-05-30,12.06,12.39,11.91,12.01,11.253001,1622200
2019-05-31,11.88,12.14,11.71,11.98,11.224891,1439500
2019-06-03,11.94,12.03,11.76,11.9,11.149934,1632400
2019-06-04,12.01,12.08,11.75,11.78,11.037498,2012500
2019-06-05,11.85,11.87,11.13,11.18,10.475316,3452700
2019-06-06,11.18,11.2,10.7,11.09,10.390989,4026100
2019-06-07,11,11.21,10.72,10.75,10.257404,2437400
2019-06-10,10.81,11.01,10.79,10.94,10.438698,2265900
2019-06-11,11,11.18,10.97,11.04,10.534116,1514300
2019-06-12,11.05,11.15,10.65,10.69,10.200154,1665100
2019-06-13,10.75,10.97,10.63,10.95,10.44824,3184500
2019-06-14,10.93,11.02,10.83,10.96,10.457782,1510200
2019-06-17,10.98,11.3,10.88,11.18,10.667701,1238700
2019-06-18,11.27,11.42,11.19,11.41,10.887162,1867100
2019-06-19,11.5,11.68,11.34,11.53,11.001663,1528600
2019-06-20,11.58,11.59,10.88,10.93,10.429156,2733200
2019-06-21,10.88,10.88,10.31,10.6,10.114279,3039800
2019-06-24,10.64,10.66,9.97,10.01,9.551314,2909000
2019-06-25,10.01,10.03,9.42,9.48,9.0456,3663000
2019-06-26,9.53,9.7,9.31,9.45,9.016974,2925300
2019-06-27,9.45,9.54,9.35,9.49,9.055141,2029500
2019-06-28,9.46,9.52,9.28,9.33,8.902473,2543800
2019-07-01,9.85,9.9,9.15,9.27,8.845223,2919200
2019-07-02,9.23,9.3,9.04,9.21,8.787971,2061700
2019-07-03,9.23,9.31,9,9.1,8.683013,1957900
2019-07-05,9.03,9.51,9.03,9.4,8.969265,3136000
2019-07-08,9.34,9.37,8.8,8.86,8.45401,4470700
2019-07-09,8.83,9.18,8.73,8.91,8.501719,3588400
2019-07-10,9.02,9.32,8.95,9.22,8.797514,2153600
2019-07-11,9.22,9.55,9.13,9.45,9.016974,2505500
2019-07-12,9.55,9.61,9.31,9.46,9.026517,1841600
2019-07-15,9.39,9.53,9.06,9.49,9.055141,2266500
2019-07-16,9.39,9.82,9.32,9.78,9.331853,2189600
2019-07-17,9.78,9.94,9.64,9.81,9.360478,1753200
2019-07-18,9.62,9.9,9.49,9.62,9.179185,2066900
2019-07-19,9.95,11.04,9.93,10.54,10.057028,11042800
2019-07-22,10.64,10.9,10.07,10.41,9.932984,5519500
2019-07-23,10.26,10.53,10.18,10.3,9.828026,2987200
2019-07-24,10.33,10.89,10.33,10.78,10.286029,2660900
2019-07-25,10.81,11.02,10.67,10.94,10.438698,2211400
2019-07-26,11,11.3,10.95,11.25,10.734493,2339900
2019-07-29,11.3,11.45,10.93,11.45,10.925329,2746700
2019-07-30,11.34,11.74,11.13,11.74,11.202041,2778100
2019-07-31,11.75,11.98,11.55,11.83,11.287916,2818700
2019-08-01,11.7,11.82,11.04,11.26,10.744036,4601900
2019-08-02,11.2,11.64,11.08,11.62,11.087539,2870100
2019-08-05,11.43,11.48,10.89,11.1,10.591367,2861200
2019-08-06,11.16,11.41,11,11.32,10.801286,1790500
2019-08-07,11.1,11.45,10.92,11.35,10.82991,3239700
2019-08-08,12.15,12.49,11.45,12.01,11.459668,8409000
2019-08-09,11.97,12.36,11.8,12.18,11.621879,3552100
2019-08-12,12.12,12.4,11.6,11.76,11.221124,2489400
2019-08-13,11.72,12.26,11.55,11.67,11.135247,3037700
2019-08-14,11.48,11.5,10.74,10.75,10.257404,3809600
2019-08-15,10.7,10.86,10.46,10.84,10.343281,2098000
2019-08-16,10.95,11.3,10.9,11.15,10.639075,1882300
2019-08-19,11.4,11.64,11.24,11.39,10.868079,1562300
2019-08-20,11.38,11.54,11.26,11.34,10.82037,1253500
2019-08-21,11.4,11.57,11.23,11.41,10.887162,1652900
2019-08-22,11.44,11.6,11.23,11.51,10.982579,2147700
2019-08-23,11.42,11.47,10.87,11.01,10.50549,3099100
2019-08-26,11.12,11.38,11.03,11.31,10.791744,1420900
2019-08-27,11.37,11.37,10.74,10.86,10.362364,2628400
2019-08-28,10.81,11.31,10.61,11.25,10.734493,1529200
2019-08-29,11.36,11.5,11.24,11.3,10.782202,1437400
2019-08-30,11.33,11.39,11,11.11,10.600909,1813100
2019-09-03,11.19,11.47,10.97,11.4,10.87762,2483100
2019-09-04,11.53,11.8,11.43,11.71,11.173415,1983500
2019-09-05,11.91,12.06,11.8,12.02,11.469211,2390000
2019-09-06,11.82,11.97,11.5,11.52,11.178113,1692600
2019-09-09,11.57,11.76,11.36,11.68,11.333365,1895800
2019-09-10,11.65,11.79,11.47,11.65,11.304255,1936300
2019-09-11,11.66,11.87,11.47,11.74,11.391583,1436300
2019-09-12,11.74,11.87,11.52,11.7,11.352771,1697500
2019-09-13,11.8,11.98,11.67,11.96,11.605055,1654500
2019-09-16,11.85,12.13,11.82,11.91,11.556539,1572200
2019-09-17,11.89,11.9,11.32,11.49,11.149003,2098900
2019-09-18,11.48,11.54,11.08,11.17,10.8385,1939000
2019-09-19,11.17,11.23,10.74,10.77,10.450372,2771100
2019-09-20,10.76,11.15,10.62,10.85,10.527998,2292800
2019-09-23,10.8,10.92,10.44,10.72,10.401855,2234500
2019-09-24,10.8,10.91,10.62,10.71,10.392153,1563900
2019-09-25,10.71,11.14,10.58,10.81,10.489184,1883300
2019-09-26,10.81,10.95,10.5,10.82,10.498887,1938200
2019-09-27,10.87,11.05,10.68,10.78,10.460074,956000
2019-09-30,10.82,10.97,10.65,10.7,10.382448,1297100
2019-10-01,10.75,10.95,10.6,10.62,10.304823,1288400
2019-10-02,10.54,10.55,9.9,10.22,9.916694,2197500
2019-10-03,10.14,10.18,9.81,9.93,9.635301,2782000
2019-10-04,9.95,10.04,9.65,9.82,9.528564,2521300
2019-10-07,9.72,9.96,9.66,9.78,9.489753,1493100
2019-10-08,9.7,9.91,9.43,9.83,9.538269,2391800
2019-10-09,9.87,9.87,9.05,9.39,9.111327,4617100
2019-10-10,9.36,9.42,9.12,9.16,8.888152,2106900
2019-10-11,9.28,9.5,9.19,9.22,8.946372,2172700
2019-10-14,9.18,9.25,8.78,8.95,8.684385,2675200
2019-10-15,9.05,9.49,8.97,9.17,8.897856,4099100
2019-10-16,9.22,9.55,9.22,9.34,9.06281,2323600
2019-10-17,9.37,9.4,9.15,9.34,9.06281,1669500
2019-10-18,9.32,9.45,9.2,9.36,9.082216,1763900
2019-10-21,9.43,9.54,9.18,9.22,8.946372,1804800
2019-10-22,9.21,9.91,9.19,9.76,9.470345,2210100
2019-10-23,9.82,10.14,9.72,9.87,9.577082,2828100
2019-10-24,9.9,9.93,9.33,9.6,9.315094,2546900
2019-10-25,9.58,9.81,9.38,9.72,9.431533,1570900
2019-10-28,9.78,10.06,9.75,9.91,9.615893,1195000
2019-10-29,9.9,9.96,9.74,9.81,9.518862,1227400
2019-10-30,9.78,9.79,9.21,9.4,9.12103,2826400
2019-10-31,9.49,9.54,9.2,9.37,9.09192,1881300
2019-11-01,9.45,9.84,9.33,9.62,9.3345,2177100
2019-11-04,9.74,9.8,9.49,9.75,9.460643,2042200
2019-11-05,9.79,10.09,9.76,9.78,9.489753,2287700
2019-11-06,9.79,9.86,9.56,9.69,9.402422,1760500
2019-11-07,9.94,10.35,9.12,9.24,8.965777,5583600
2019-11-08,9.37,9.73,9.24,9.62,9.3345,2382500
2019-11-11,9.55,9.67,9.27,9.54,9.256875,1642800
2019-11-12,9.54,9.62,9.28,9.28,9.004591,2388300
2019-11-13,9.25,9.28,8.54,8.8,8.538836,6797100
2019-11-14,8.77,9.01,8.67,8.88,8.616463,3248900
2019-11-15,8.98,8.99,8.71,8.76,8.500024,3221300
2019-11-18,8.75,8.79,8.22,8.47,8.218631,7317300
2019-11-19,8.65,9.05,8.4,8.47,8.218631,5931000
2019-11-20,8.49,8.49,8.11,8.13,7.888721,4155800
2019-11-21,8.14,8.33,7.87,7.94,7.704359,4393200
2019-11-22,7.96,8.06,7.47,7.96,7.723765,5706200
2019-11-25,8.08,8.45,8.05,8.38,8.131302,3560400
2019-11-26,8.4,8.4,7.9,7.9,7.665546,4773400
2019-11-27,8,8.65,8,8.43,8.179817,5745500
2019-11-29,8.26,8.4,8.08,8.18,8.130122,2408200
2019-12-02,8.24,8.71,8.22,8.67,8.617134,4166700
2019-12-03,8.57,8.58,8.21,8.27,8.219574,3652300
2019-12-04,8.3,8.32,7.88,7.93,7.881646,4293000
2019-12-05,7.95,8.02,7.77,7.87,7.822012,2747300
2019-12-06,7.88,8.15,7.88,8.05,8.000915,1573400
2019-12-09,8.03,8.27,7.84,8.23,8.179816,1879200
2019-12-10,8.19,8.41,8.09,8.1,8.050611,2441700
2019-12-11,8.06,8.18,8.01,8.16,8.110244,1697900
2019-12-12,8.25,8.44,8.18,8.3,8.249391,2407800
2019-12-13,8.3,8.41,8.19,8.22,8.169878,1382500
2019-12-16,8.45,8.78,8.35,8.35,8.299086,4786200
2019-12-17,8.35,8.4,8.08,8.12,8.070488,3584200
2019-12-18,7.78,8.13,7.66,7.96,7.911463,4392500
2019-12-19,7.96,8,7.68,7.8,7.752439,5490100
2019-12-20,7.82,7.96,7.72,7.73,7.682866,4218500
2019-12-23,7.73,7.75,7.31,7.32,7.275366,6556400
2019-12-24,7.47,7.67,7.43,7.51,7.464208,3618200
2019-12-26,7.55,7.56,7.32,7.34,7.295244,3305800
2019-12-27,7.3,7.4,7.2,7.3,7.255488,3910500
2019-12-30,7.31,7.42,7.23,7.24,7.195854,3371000
2019-12-31,7.24,7.3,7.15,7.24,7.195854,3279000
2020-01-02,7.3,7.56,7.23,7.46,7.414512,4545900
2020-01-03,7.45,7.6,7.31,7.32,7.275366,2218000
2020-01-06,7.25,7.3,7.11,7.12,7.076585,2903400
2020-01-07,7.11,7.2,7,7.13,7.086524,3205300
2020-01-08,7.11,7.15,6.61,6.62,6.579634,6557000
2020-01-09,6.66,6.68,6.35,6.46,6.42061,6794300
2020-01-10,6.44,6.67,6.41,6.47,6.430549,5203600
2020-01-13,6.5,6.64,6.42,6.56,6.52,2836800
2020-01-14,6.55,6.96,6.45,6.85,6.808232,2713100
2020-01-15,6.85,7.34,6.8,7.11,7.066647,4660300
2020-01-16,7.19,7.44,7.19,7.33,7.285305,3350400
2020-01-17,7.36,7.38,7.13,7.28,7.23561,2016900
2020-01-21,7.26,7.32,7.15,7.18,7.13622,1831400
2020-01-22,7.21,7.22,6.93,6.97,6.9275,2716900
2020-01-23,6.93,7,6.68,6.8,6.758537,2029300
2020-01-24,6.76,6.8,6.6,6.74,6.698902,2282800
2020-01-27,6.51,6.54,6.25,6.36,6.321219,3163600
2020-01-28,6.35,6.8,6.29,6.79,6.748598,2094700
2020-01-29,6.86,6.89,6.69,6.77,6.72872,1438200
2020-01-30,6.62,6.88,6.46,6.84,6.798293,1640600
2020-01-31,6.81,6.87,6.5,6.52,6.480244,1883300
2020-02-03,6.5,6.59,6.41,6.45,6.410671,1413600
2020-02-04,6.46,6.69,6.39,6.65,6.609451,2004400
2020-02-05,6.72,7.1,6.69,7,6.957317,2167200
2020-02-06,7.03,7.13,6.73,6.75,6.708841,2713400
2020-02-07,6.7,6.75,6.54,6.55,6.510061,2063000
2020-02-10,6.55,6.83,6.47,6.79,6.748598,1360300
2020-02-11,6.8,6.98,6.65,6.94,6.897683,1568500
2020-02-12,6.93,7.08,6.82,6.86,6.818171,1922100
2020-02-13,6.75,7.08,6.72,7,6.957317,1553400
2020-02-14,7.01,7.19,6.88,7.1,7.056707,1706000
2020-02-18,7.09,7.25,7.03,7.04,6.997073,2142800
2020-02-19,7.1,7.44,7.06,7.31,7.265427,2308500
2020-02-20,7.32,7.78,7.21,7.76,7.712683,3649100
2020-02-21,7.7,7.75,7.33,7.46,7.414512,3034300
2020-02-24,7.14,7.14,6.84,7.05,7.007012,3210900
2020-02-25,7,7.28,6.48,6.55,6.510061,4181000
2020-02-26,6.57,6.62,5.87,5.93,5.893841,7176800
2020-02-27,5.71,6.2,5.12,6.09,6.052866,6294000
2020-02-28,6.51,6.65,5.98,6.26,6.221829,7556400
2020-03-02,6.31,6.32,5.63,6.11,6.072744,4585400
2020-03-03,6.1,6.13,5.64,5.81,5.774573,3843000
2020-03-04,5.86,5.9,5.43,5.82,5.784513,4483700
2020-03-05,5.6,5.61,4.75,4.92,4.89,5853100
2020-03-06,4.62,4.73,4.37,4.53,4.53,4599900
2020-03-09,3.95,4.07,3.68,3.85,3.85,3404000
2020-03-10,4.17,4.29,3.76,4.2,4.2,3687000
2020-03-11,3.98,4.07,3.56,3.64,3.64,4059400
2020-03-12,2.68,3.15,2.65,2.91,2.91,8058000
2020-03-13,3.14,3.27,2.8,3.22,3.22,6158300
2020-03-16,2.64,2.9,2.6,2.6,2.6,8497900
2020-03-17,2.62,2.75,1.95,2.48,2.48,7685700
2020-03-18,2.28,3,2.11,2.47,2.47,7753500
2020-03-19,2.64,3.47,2.38,3.37,3.37,8614600
2020-03-20,3.4,3.6,3.02,3.19,3.19,5754000
2020-03-23,3.23,3.4,2.71,3.15,3.15,6481300
2020-03-24,3.5,3.56,3.27,3.56,3.56,5168300
2020-03-25,3.92,3.98,3.25,3.46,3.46,8112900
2020-03-26,3.46,3.95,3.44,3.7,3.7,5094700
2020-03-27,3.57,3.75,3.3,3.6,3.6,3431400
2020-03-30,3.45,3.5,3.04,3.04,3.04,4219700
2020-03-31,3.15,3.29,3.08,3.16,3.16,3637100
2020-04-01,3,3.04,2.5,2.62,2.62,5898600
2020-04-02,2.74,2.78,2.18,2.24,2.24,8808100
2020-04-03,2.32,2.34,2,2.27,2.27,7493400
2020-04-06,2.5,2.97,2.4,2.88,2.88,6912000
2020-04-07,3.17,3.73,3.05,3.14,3.14,8977100
2020-04-08,3.05,3.32,2.8,3.3,3.3,7997600
2020-04-09,3.3,3.3,2.58,2.6,2.6,13981200
2020-04-13,2.34,2.36,1.95,2.08,2.08,19784100
2020-04-14,2.21,2.37,2.14,2.18,2.18,11747900
2020-04-15,2.15,2.46,2.02,2.41,2.41,11378000
2020-04-16,2.35,2.49,2.15,2.44,2.44,5583000
2020-04-17,3.85,3.85,3.05,3.23,3.23,14455926
